freq=960.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 106018750, 0, -313.136414, 818.591492, -181.382553, 1, 0, 0, 0, 4.00
M, 106018750, 1, -240.645477, 810.137451, -166.035706, 1, 0, 0, 0, 4.00
M, 106018750, 2, -316.313690, 816.936646, -223.872803, 1, 0, 0, 0, 3.55
M, 106018750, 3, -211.836411, 810.033447, -161.405167, 1, 0, 0, 0, 4.00
M, 106018750, 4, -268.263367, 816.424316, -175.005249, 1, 0, 0, 0, 4.00
M, 106018750, 5, -176.463089, 810.647583, -162.368195, 1, 0, 0, 0, 4.00
M, 106018750, 6, -152.801025, 811.599670, -163.473679, 1, 0, 0, 0, 3.52
M, 106018750, 7, -130.025589, 811.068787, -167.770767, 1, 0, 0, 0, 4.00
M, 106019792, 0, -313.135345, 818.591797, -181.382614, 1, 0, 0, 0, 4.00
M, 106019792, 1, -240.645477, 810.138428, -166.035736, 1, 0, 0, 0, 4.00
M, 106019792, 2, -316.314514, 816.943665, -223.874649, 1, 0, 0, 0, 4.00
M, 106019792, 3, -211.827744, 810.042114, -161.402130, 1, 0, 0, 0, 3.79
M, 106019792, 4, -268.264252, 816.424438, -175.006058, 1, 0, 0, 0, 4.00
M, 106019792, 5, -176.463837, 810.647217, -162.366943, 1, 0, 0, 0, 4.00
M, 106019792, 6, -152.804428, 811.599060, -163.476074, 1, 0, 0, 0, 4.00
M, 106019792, 7, -130.026215, 811.070801, -167.777939, 1, 0, 0, 0, 3.07
M, 106020833, 0, -313.141998, 818.594238, -181.388779, 1, 0, 0, 0, 3.57
M, 106020833, 1, -240.645477, 810.139282, -166.035706, 1, 0, 0, 0, 4.00
M, 106020833, 2, -316.311920, 816.944702, -223.873459, 1, 0, 0, 0, 4.00
M, 106020833, 3, -211.828583, 810.040771, -161.400909, 1, 0, 0, 0, 4.00
M, 106020833, 4, -268.244507, 816.430969, -174.994370, 1, 0, 0, 0, 3.32
M, 106020833, 5, -176.464569, 810.646851, -162.365692, 1, 0, 0, 0, 4.00
M, 106020833, 6, -152.804031, 811.599792, -163.475830, 1, 0, 0, 0, 4.00
M, 106020833, 7, -130.026688, 811.070129, -167.775681, 1, 0, 0, 0, 4.00
M, 106021875, 0, -313.139679, 818.594177, -181.387894, 1, 0, 0, 0, 4.00
M, 106021875, 1, -240.644287, 810.133057, -166.037109, 1, 0, 0, 0, 3.34
M, 106021875, 2, -316.309418, 816.945618, -223.872253, 1, 0, 0, 0, 4.00
M, 106021875, 3, -211.827179, 810.041992, -161.399261, 1, 0, 0, 0, 4.00
M, 106021875, 4, -268.248749, 816.430176, -174.997177, 1, 0, 0, 0, 4.00
M, 106021875, 5, -176.453583, 810.656677, -162.365662, 1, 0, 0, 0, 3.34
M, 106021875, 6, -152.803619, 811.600647, -163.475586, 1, 0, 0, 0, 4.00
M, 106021875, 7, -130.027313, 811.069946, -167.775620, 1, 0, 0, 0, 4.00
M, 106022917, 0, -313.139404, 818.594788, -181.388611, 1, 0, 0, 0, 4.00
M, 106022917, 1, -240.644470, 810.135193, -166.036865, 1, 0, 0, 0, 4.00
M, 106022917, 2, -316.319641, 816.934021, -223.872375, 1, 0, 0, 0, 3.55
M, 106022917, 3, -211.825745, 810.043030, -161.397659, 1, 0, 0, 0, 4.00
M, 106022917, 4, -268.247314, 816.431091, -174.996567, 1, 0, 0, 0, 4.00
M, 106022917, 5, -176.456299, 810.654602, -162.364212, 1, 0, 0, 0, 4.00
M, 106022917, 6, -152.796997, 811.601868, -163.470490, 1, 0, 0, 0, 3.52
M, 106022917, 7, -130.027847, 811.069824, -167.775589, 1, 0, 0, 0, 4.00
M, 106023958, 0, -313.139221, 818.595154, -181.389343, 1, 0, 0, 0, 4.00
M, 106023958, 1, -240.644348, 810.135315, -166.037018, 1, 0, 0, 0, 4.00
M, 106023958, 2, -316.315002, 816.937134, -223.870972, 1, 0, 0, 0, 4.00
M, 106023958, 3, -211.846252, 810.022095, -161.414429, 1, 0, 0, 0, 3.79
M, 106023958, 4, -268.245941, 816.431946, -174.996033, 1, 0, 0, 0, 4.00
M, 106023958, 5, -176.455780, 810.655273, -162.363129, 1, 0, 0, 0, 4.00
M, 106023958, 6, -152.797653, 811.602417, -163.471069, 1, 0, 0, 0, 4.00
M, 106023958, 7, -130.013763, 811.069763, -167.775833, 1, 0, 0, 0, 3.07
M, 106025000, 0, -313.138184, 818.596375, -181.394867, 1, 0, 0, 0, 3.57
M, 106025000, 1, -240.644226, 810.135437, -166.037155, 1, 0, 0, 0, 4.00
M, 106025000, 2, -316.313812, 816.936707, -223.869934, 1, 0, 0, 0, 4.00
M, 106025000, 3, -211.841187, 810.026855, -161.409760, 1, 0, 0, 0, 4.00
M, 106025000, 4, -268.248260, 816.434265, -175.009476, 1, 0, 0, 0, 3.32
M, 106025000, 5, -176.455276, 810.656006, -162.362061, 1, 0, 0, 0, 4.00
M, 106025000, 6, -152.796585, 811.603271, -163.470261, 1, 0, 0, 0, 4.00
M, 106025000, 7, -130.016708, 811.069641, -167.775711, 1, 0, 0, 0, 4.00
M, 106026042, 0, -313.138092, 818.596863, -181.394775, 1, 0, 0, 0, 4.00
M, 106026042, 1, -240.642319, 810.135986, -166.051651, 1, 0, 0, 0, 3.34
M, 106026042, 2, -316.312683, 816.936279, -223.868866, 1, 0, 0, 0, 4.00
M, 106026042, 3, -211.842133, 810.025696, -161.410110, 1, 0, 0, 0, 4.00
M, 106026042, 4, -268.246246, 816.435120, -175.006653, 1, 0, 0, 0, 4.00
M, 106026042, 5, -176.465683, 810.657349, -162.385239, 1, 0, 0, 0, 3.34
M, 106026042, 6, -152.795578, 811.604004, -163.469482, 1, 0, 0, 0, 4.00
M, 106026042, 7, -130.015686, 811.069458, -167.775711, 1, 0, 0, 0, 4.00
M, 106027083, 0, -313.137848, 818.597534, -181.396027, 1, 0, 0, 0, 4.00
M, 106027083, 1, -240.642502, 810.135986, -166.049438, 1, 0, 0, 0, 4.00
M, 106027083, 2, -316.321930, 816.927979, -223.873993, 1, 0, 0, 0, 3.98
M, 106027083, 3, -211.843094, 810.024597, -161.410477, 1, 0, 0, 0, 4.00
